gene chr snp clr start end ncd05 ncd04 ncd03 facet density candens
LOC120359854 CM031909.1 16661797 40.347916919744 16657566 16662566 0.261873932657173 0.164288232299212 0.0735070740722732 CM031909.1 1.5336674611955e-05 1
LOC105194123 CM031909.1 14338801 39.8344908965205 14335066 14340066 0.278208184906127 0.197403642693751 0.143305973876744 CM031909.1 1.6592560439406e-05 1
LOC105201365 CM031913.1 5639860 32.9963282036779 5635548 5640548 0.22966573090972 0.146694307845588 0.101449948025103 CM031913.1 5.1647326099973e-05 1
LOC105207562 CM031902.1 2953860 29.7677462414448 2950173 2955173 0.262455137072057 0.176102277977446 0.114635621175003 CM031902.1 0.00011877355904623 1
LOC113003122 CM031902.1 2953860 29.7677462414448 2950173 2955173 0.262455137072057 0.176102277977446 0.114635621175003 CM031902.1 0.00011877355904623 1
LOC105201361 CM031913.1 5642775 28.8463358050276 5638048 5643048 0.246624741608769 0.163745983686905 0.113144735509842 CM031913.1 0.000148652339311556 1
LOC105204319 CM031909.1 15651444 28.4313322060736 15647566 15652566 0.308067437870089 0.212953426437324 0.125669317603591 CM031909.1 0.000181114047834219 1
LOC105197218 CM031903.1 7947559 27.3899754003203 7943771 7948771 0.259659126159638 0.199400355561335 0.179159542860509 CM031903.1 0.000228168615286503 1
LOC105196643 CM031906.1 17056135 25.7502691927611 17051461 17056461 0.195769107958414 0.131817716174648 0.128165037994637 CM031906.1 0.00028083491858032 1
LOC105197445 CM031913.1 2431701 23.9213256387621 2428048 2433048 0.155863108288285 0.0810500371701686 0.0940473738351354 CM031913.1 0.000365142752590369 1
LOC105198477 CM031909.1 15685049 23.9841130175196 15680066 15685066 0.285273855849839 0.189920446937049 0.103722608423148 CM031909.1 0.000627183485407041 1
LOC105196626 CM031906.1 17052672 23.6074209975095 17048961 17053961 0.317376024229935 0.218038392848599 0.119807932775756 CM031906.1 0.000735293704045804 1
LOC105202626 CM031913.1 10857651 20.5121095671697 10853048 10858048 0.189040378673446 0.0914465131593327 0.0314430400724866 CM031913.1 0.00106457001967245 1
LOC105194686 CM031911.1 4458766 0.0618357829644651 4454627 4459627 0 0.1 0.2 CM031911.1 0.00148488962807778 1
LOC105205021 CM031907.1 8005483 0 8002406 8007406 0 0.1 0.2 CM031907.1 0.00148488962807778 1
LOC105196038 CM031912.1 15796829 0 15792745 15797745 0 0.1 0.2 CM031912.1 0.00148488962807778 1
LOC105198102 CM031914.1 6108903 0 6104887 6109887 0 0.1 0.2 CM031914.1 0.00148488962807778 1
LOC105192866 CM031908.1 22815912 0.323731310121417 22811007 22816007 0 0.1 0.2 CM031908.1 0.00150739728649662 1
LOC105194252 CM031909.1 11494319 0.458264001227576 11490066 11495066 0 0.1 0.2 CM031909.1 0.00151267709399151 1
LOC113004472 CM031907.1 4181680 0.870148403913163 4177406 4182406 0 0.1 0.2 CM031907.1 0.00153691921852758 1
LOC105198290 CM031902.1 16280786 0.993134486527595 16277673 16282673 0 0.1 0.2 CM031902.1 0.00154558416663665 1
LOC105201434 CM031904.1 7185629 1.20086549357217 7181519 7186519 0 0.1 0.2 CM031904.1 0.00155364449867817 1
LOC113004049 CM031912.1 17782450 2.34135282588278 17777745 17782745 0 0.1 0.2 CM031912.1 0.00159248195330733 1
LOC105206260 CM031904.1 10490630 2.61896981986544 10486519 10491519 0 0.1 0.2 CM031904.1 0.00159775722635702 1
LOC105208243 CM031903.1 29914690 3.3991263475577 29911271 29916271 0 0.1 0.2 CM031903.1 0.0015994176920994 1
LOC105195505 CM031908.1 12826353 17.2055531876013 12823507 12828507 0.143097721865165 0.0457018380702571 0.0608305679983345 CM031908.1 0.00162467770788858 1
LOC105193620 CM031903.1 29088727 19.8258636927153 29083771 29088771 0.299609296524657 0.201605680882261 0.107349758099401 CM031903.1 0.00193634003893208 1
LOC105194383 CM031907.1 12059704 19.7019025501992 12054906 12059906 0.299336047760707 0.202880431508315 0.112777965440949 CM031907.1 0.00201586823908687 1
LOC105192787 CM031909.1 5672159 18.9157858101787 5667566 5672566 0.250848923284487 0.198976939148703 0.190416549472431 CM031909.1 0.00212410067478521 1
LOC105192788 CM031909.1 5672159 18.9157858101787 5667566 5672566 0.250848923284487 0.198976939148703 0.190416549472431 CM031909.1 0.00212410067478521 1
LOC105198234 CM031907.1 12064269 13.3376231921241 12059906 12064906 0.0987542646049611 0.077956001122428 0.149672547397087 CM031907.1 0.00219926228426773 1
LOC105208172 CM031903.1 16330108 19.2575604429239 16326271 16331271 0.304263677048346 0.236374798087656 0.197913377948485 CM031903.1 0.00224950741115678 1
LOC105199284 CM031912.1 1141468 5.30203281959783 1137745 1142745 0.0321415387388345 0.0805455058491782 0.178723469394761 CM031912.1 0.0022868017668098 1
LOC105193622 CM031903.1 29091597 19.2678983091109 29088771 29093771 0.359837776045623 0.262073603479802 0.166978807674259 CM031903.1 0.00235836495122939 1
LOC120357557 CM031904.1 19156833 0 19154019 19159019 0.038462 0.061538 0.161538 CM031904.1 0.0023713025953928 1
LOC105203875 CM031906.1 4045656 18.3147855469584 4041461 4046461 0.247071973479258 0.160833651367705 0.103394229750028 CM031906.1 0.00237956952078219 1
LOC120358077 CM031906.1 18380593 0.445997847159902 18376461 18381461 0.038462 0.061538 0.161538 CM031906.1 0.0024153750766075 1
LOC105203826 CM031906.1 4409069 0.418816435919666 4406461 4411461 0.038462 0.061538 0.161538 CM031906.1 0.0024153750766075 1
LOC105207011 CM031913.1 85331 0.584603191440635 80548 85548 0.038462 0.061538 0.161538 CM031913.1 0.00243142493793535 1
LOC105198302 CM031912.1 4382380 0.829988088203336 4377745 4382745 0.038462 0.061538 0.161538 CM031912.1 0.00245374979108062 1
LOC113004858 CM031911.1 11094753 4.89920885507179 11092127 11097127 0.038462 0.061538 0.161538 CM031911.1 0.00248816620324319 1
LOC105195084 CM031905.1 166563 0 162965 167965 0.045455 0.054545 0.154545 CM031905.1 0.00257259104720855 1
LOC105199909 CM031907.1 14947888 0.13591868563617 14944906 14949906 0.045455 0.054545 0.154545 CM031907.1 0.00258261044061882 1
LOC120359408 CM031913.1 6512707 18.5121518321927 6508048 6513048 0.310293621594918 0.230781631856805 0.173891321239704 CM031913.1 0.00276193933719798 1
LOC105204320 CM031909.1 15946686 18.233852866945 15942566 15947566 0.2882482467911 0.190115740103984 0.095921517358873 CM031909.1 0.00278421667207385 1
LOC105201430 CM031904.1 7155221 0.15849358390517 7151519 7156519 0.055556 0.0444439999999999 0.144444 CM031904.1 0.00291173319331203 1
LOC105198492 CM031907.1 12067915 18.3483721760458 12064906 12069906 0.338815535870155 0.245988266685588 0.161939764563803 CM031907.1 0.00297119576319454 1
LOC105194033 CM031909.1 8770092 5.38776301936726 8767566 8772566 0.0573647430265315 0.0479751367116343 0.145988060273777 CM031909.1 0.00304910063456946 1
LOC105203239 CM031913.1 6517593 17.8893281733931 6513048 6518048 0.313391494095628 0.217944852133493 0.12955959467168 CM031913.1 0.00316527748980483 1
LOC113003096 CM031902.1 6620676 8.96956729739071 6617673 6622673 0.083333 0.016667 0.116667 CM031902.1 0.00324416523317756 1
LOC105201303 CM031903.1 17551666 17.9392688037243 17548771 17553771 0.347703618309687 0.248758281977334 0.151207008828895 CM031903.1 0.0032832493377269 1
LOC105205296 CM031903.1 14636628 2.11012798089837 14633771 14638771 0.0648988225355437 0.045081672179501 0.140900167375699 CM031903.1 0.00344931210193809 1
LOC113004274 CM031905.1 15276533 0 15272965 15277965 0.071429 0.028571 0.128571 CM031905.1 0.00348715095561753 1
LOC105202592 CM031909.1 16522373 17.009241250366 16517566 16522566 0.276464876173138 0.181078118226046 0.0956333730616193 CM031909.1 0.00352594857015391 1
LOC105203919 CM031910.1 13739786 0.403588802428459 13736269 13741269 0.071429 0.028571 0.128571 CM031910.1 0.00353891634557519 1
LOC105195174 CM031907.1 3808819 0.706008421867978 3804906 3809906 0.071429 0.028571 0.128571 CM031907.1 0.00358533065915855 1
LOC105195494 CM031904.1 1187593 0.838277233310691 1184019 1189019 0.071429 0.028571 0.128571 CM031904.1 0.00360646357210127 1
LOC105194904 CM031904.1 6225759 10.3370646505738 6221519 6226519 0.10885137237766 0.0327004781081256 0.101439742056553 CM031904.1 0.00361676440583342 1
LOC105200263 CM031911.1 9872436 16.2944648567894 9869627 9874627 0.252776852451406 0.176544660455195 0.135793582820544 CM031911.1 0.00377648606100659 1
LOC105201535 CM031906.1 17751614 17.176604357357 17748961 17753961 0.323814667615196 0.226703372190931 0.133913774357756 CM031906.1 0.00379554086281518 1
