gene chr snp clr start end ncd05 ncd04 ncd03 facet density candens
LOC105202593 CM031909.1 13753816 61.5660944637939 13750150 13755150 0.461279353725528 0.361637231453622 0.262267672757129 CM031909.1 1.60324494350962e-06 1
LOC120359854 CM031909.1 16662794 74.1419890112406 16660150 16665150 0.46580569555411 0.365918891847152 0.26611712611301 CM031909.1 2.23272670626151e-06 1
LOC105202791 CM031903.1 15951592 75.6540122216356 15947632 15952632 0.467312103019578 0.36757240876557 0.268026770571274 CM031903.1 2.27367376536177e-06 1
LOC105202761 CM031903.1 15951592 75.6540122216356 15947632 15952632 0.467312103019578 0.36757240876557 0.268026770571274 CM031903.1 2.27367376536177e-06 1
LOC105194123 CM031909.1 14340157 57.7999712655901 14337650 14342650 0.471677857560399 0.371817029761226 0.272058460497285 CM031909.1 2.29134857389368e-06 1
LOC105203381 CM031909.1 13885898 52.7504729656639 13882650 13887650 0.472679440576629 0.372776141520206 0.272943675196092 CM031909.1 2.46387410762807e-06 1
LOC105193951 CM031907.1 5638348 54.561724275641 5635628 5640628 0.455925391109952 0.356747916848059 0.258205712741016 CM031907.1 2.47740606455641e-06 1
LOC105204319 CM031909.1 15685041 45.8197405956753 15680150 15685150 0.459373548191269 0.359468400249363 0.259636293260084 CM031909.1 3.65689805715817e-06 1
LOC105198477 CM031909.1 15685041 45.8197405956753 15680150 15685150 0.459373548191269 0.359468400249363 0.259636293260084 CM031909.1 3.65689805715817e-06 1
LOC105194898 CM031904.1 5883744 43.6669089686466 5879178 5884178 0.469528959703005 0.369791868853354 0.270249160110307 CM031904.1 4.53000171178052e-06 1
LOC105201365 CM031913.1 5638897 41.0592044408766 5635517 5640517 0.463157957291326 0.364042527555422 0.265591096115075 CM031913.1 5.94063778123969e-06 1
LOC105194031 CM031909.1 9125658 39.5858228192071 9122650 9127650 0.473871242480249 0.373937157086287 0.274051163927057 CM031909.1 6.78007884750525e-06 1
LOC105205287 CM031906.1 23564432 37.5913248505557 23560130 23565130 0.439375667062641 0.342601691456068 0.248396580432132 CM031906.1 8.24277915342294e-06 1
LOC105197185 CM031907.1 9661353 37.5491158929931 9658128 9663128 0.445586814793727 0.346834902393082 0.249080889507844 CM031907.1 8.24283258235778e-06 1
LOC120358644 CM031909.1 9114111 36.4419405985398 9110150 9115150 0.458081405824389 0.358801901744378 0.260075056529294 CM031909.1 9.05568188426272e-06 1
LOC105207435 CM031906.1 15417327 35.7945869168416 15412630 15417630 0.476265431382989 0.376307844453303 0.27638094446571 CM031906.1 9.55888339434391e-06 1
LOC105205121 CM031902.1 12168914 35.1146209775939 12165806 12170806 0.442113230855719 0.345980788336119 0.252866175867161 CM031902.1 1.02477614140113e-05 1
LOC105195292 CM031905.1 5967392 34.3108721252397 5963472 5968472 0.468310566858633 0.369495718236477 0.271549966965063 CM031905.1 1.10323171171029e-05 1
LOC113003082 CM031905.1 5967392 34.3108721252397 5963472 5968472 0.468310566858633 0.369495718236477 0.271549966965063 CM031905.1 1.10323171171029e-05 1
LOC105206596 CM031902.1 12178240 31.9686969033019 12173306 12178306 0.488197430089532 0.388245490825101 0.288326883148318 CM031902.1 1.47614334766814e-05 1
LOC105205250 CM031906.1 23562971 30.7043799840503 23560130 23565130 0.439375667062641 0.342601691456068 0.248396580432132 CM031906.1 1.7918355270212e-05 1
LOC120357130 CM031903.1 20003022 30.2794860687131 20000132 20005132 0.478554842729078 0.378653525005978 0.278822966233868 CM031903.1 1.94720409981076e-05 1
LOC105199555 CM031903.1 28788742 30.0877319714136 28785132 28790132 0.458681120156431 0.360551788739091 0.263831034448106 CM031903.1 2.00459423260732e-05 1
LOC105197445 CM031913.1 2431893 29.6025612166891 2428017 2433017 0.45692813011739 0.357795038664002 0.259328485308835 CM031913.1 2.19607489957111e-05 1
