gene,chr,snp,clr,start,end,ncd05,ncd04,ncd03,facet,immune,qw_queen,qw_worker,mq_queen,mq_male,mw_male,mw_worker,male_biased_tissues,nonmale_biased_tissues,male_bias_index,worker_biased_tissues,nonworker_biased_tissues,worker_bias_index,queen_biased_tissues,nonqueen_biased_tissues,queen_bias_index,density,candens
LOC105199771,CM031901.1,31008944,13.3110062017937,31005906,31010906,0.139913682585014,0.0399191504731752,0.060093581807877,CM031901.1,0,0,0,0,1,2,0,3,0,3,0,2,-2,0,1,-1,7.01631135842203e-07,1
LOC105202761,CM031903.1,15951592,76.3826140517604,15947632,15952632,0.467312103019578,0.36757240876557,0.268026770571274,CM031903.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.44807487712125e-05,1
LOC105202791,CM031903.1,15951592,76.3826140517604,15947632,15952632,0.467312103019578,0.36757240876557,0.268026770571274,CM031903.1,0,4,2,0,8,4,0,12,0,12,2,8,-6,4,10,-6,1.44807487712125e-05,1
LOC120359854,CM031909.1,16662794,75.0606273709254,16660150,16665150,0.46580569555411,0.365918891847152,0.26611712611301,CM031909.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.70166965565776e-05,1
LOC105202593,CM031909.1,13753816,62.1097353405412,13750150,13755150,0.461279353725528,0.361637231453622,0.262267672757129,CM031909.1,0,2,3,1,3,4,4,7,5,2,7,6,1,3,6,-3,9.54705564003963e-05,1
LOC105194123,CM031909.1,14340157,58.5153418194595,14337650,14342650,0.471677857560399,0.371817029761226,0.272058460497285,CM031909.1,0,0,2,1,3,6,3,9,4,5,5,6,-1,1,5,-4,0.000183546080142846,1
LOC105193951,CM031907.1,5638348,53.6081150303172,5635628,5640628,0.455925391109952,0.356747916848059,0.258205712741016,CM031907.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000246234871536973,1
LOC105203381,CM031909.1,13885898,53.4823640767563,13882650,13887650,0.472679440576629,0.372776141520206,0.272943675196092,CM031909.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000352158258748609,1
LOC105198477,CM031909.1,15685041,46.2633193715501,15680150,15685150,0.459373548191269,0.359468400249363,0.259636293260084,CM031909.1,0,3,2,0,1,3,2,4,2,2,4,6,-2,3,3,0,0.000609072880345605,1
LOC105204319,CM031909.1,15685041,46.2633193715501,15680150,15685150,0.459373548191269,0.359468400249363,0.259636293260084,CM031909.1,0,0,2,0,5,0,1,5,1,4,3,0,3,0,7,-7,0.000609072880345605,1
LOC105205287,CM031906.1,23564432,37.1976824202142,23560130,23565130,0.439375667062641,0.342601691456068,0.248396580432132,CM031906.1,0,10,0,2,0,7,0,7,2,5,0,17,-17,12,0,12,0.000645420299033092,1
LOC113004858,CM031911.1,11094976,16.9429845647646,11091286,11096286,0.422885723425641,0.333550493401908,0.252348029950869,CM031911.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000728640645055173,1
LOC105197185,CM031907.1,9661353,37.6058738111572,9658128,9663128,0.445586814793727,0.346834902393082,0.249080889507844,CM031907.1,0,7,0,3,0,6,0,6,3,3,0,13,-13,10,0,10,0.000849079139330021,1
LOC105205121,CM031902.1,12168914,34.7049059507412,12165806,12170806,0.442113230855719,0.345980788336119,0.252866175867161,CM031902.1,0,6,1,8,1,1,4,2,12,-10,5,7,-2,14,2,12,0.000906544728219992,1
LOC105194898,CM031904.1,5883744,43.8640393975702,5879178,5884178,0.469528959703005,0.369791868853354,0.270249160110307,CM031904.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.000988083250505802,1
LOC105205250,CM031906.1,23562971,30.3013891357808,23560130,23565130,0.439375667062641,0.342601691456068,0.248396580432132,CM031906.1,0,3,1,0,3,3,1,6,1,5,2,6,-4,3,4,-1,0.00106863279363758,1
LOC105196578,CM031909.1,12089044,18.0035914290247,12085150,12090150,0.430553287056647,0.336430392496402,0.246971020557642,CM031909.1,0,3,1,1,3,0,2,3,3,0,3,3,0,4,4,0,0.00117844023438398,1
LOC105196912,CM031903.1,16430744,8.00465016762519,16427632,16432632,0.427606265936736,0.329723568061225,0.233641058039233,CM031903.1,0,1,0,0,3,4,0,7,0,7,0,5,-5,1,3,-2,0.00118176132128123,1
LOC105201365,CM031913.1,5638897,40.7164724559245,5635517,5640517,0.463157957291326,0.364042527555422,0.265591096115075,CM031913.1,0,0,13,7,0,0,14,0,21,-21,27,0,27,7,13,-6,0.00118205024504066,1
LOC105203366,CM031911.1,12337220,15.4640079526842,12333786,12338786,0.431080795574146,0.342912396703354,0.26333851088065,CM031911.1,0,0,5,3,0,0,8,0,11,-11,13,0,13,3,5,-2,0.00131858469815027,1
LOC105201813,CM031901.1,1296022,35.0284878593568,1293406,1298406,0.451874275478804,0.352560996042391,0.253787610062651,CM031901.1,0,2,2,0,7,4,0,11,0,11,2,6,-4,2,9,-7,0.00134689627266951,1
LOC120358644,CM031909.1,9114111,37.0770292000739,9110150,9115150,0.458081405824389,0.358801901744378,0.260075056529294,CM031909.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00140503874891072,1
LOC105204753,CM031903.1,7852427,7.10960838799983,7847632,7852632,0.430786627474235,0.332082923997343,0.234480315614392,CM031903.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00142287977799507,1
LOC105194031,CM031909.1,9125658,40.1829801718886,9122650,9127650,0.473871242480249,0.373937157086287,0.274051163927057,CM031909.1,0,1,2,0,1,2,0,3,0,3,2,3,-1,1,3,-2,0.00148958207196323,1
LOC120358035,CM031906.1,10915675,13.60382823571,10912630,10917630,0.434033903888855,0.342988666321497,0.258644583792121,CM031906.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00163330879578732,1
LOC105196153,CM031909.1,7233186,5.15779035201501,7230150,7235150,0.437188763273943,0.338541599708219,0.241012063459487,CM031909.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00208029069243458,1
LOC105200007,CM031901.1,29866503,9.26569574485124,29863406,29868406,0.438056606445846,0.340703847621632,0.245488560054267,CM031901.1,0,4,1,1,6,9,1,15,2,13,2,13,-11,5,7,-2,0.00212644642497511,1
LOC105199194,CM031904.1,9306745,16.9005012026174,9304178,9309178,0.440227260470686,0.341422798131214,0.243596004289827,CM031904.1,0,3,0,3,5,6,2,11,5,6,2,9,-7,6,5,1,0.00212757238266487,1
LOC105195292,CM031905.1,5967392,34.8722117962461,5963472,5968472,0.468310566858633,0.369495718236477,0.271549966965063,CM031905.1,0,3,4,1,2,5,2,7,3,4,6,8,-2,4,6,-2,0.00214437896974927,1
LOC113003082,CM031905.1,5967392,34.8722117962461,5963472,5968472,0.468310566858633,0.369495718236477,0.271549966965063,CM031905.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00214437896974927,1
LOC105200721,CM031902.1,24832000,17.4913566865358,24828306,24833306,0.44127837851973,0.342574731334642,0.244925061496374,CM031902.1,0,2,1,4,2,3,5,5,9,-4,6,5,1,6,3,3,0.00216467274422077,1
LOC105203367,CM031911.1,12349923,12.5034806314207,12346286,12351286,0.439427114559211,0.347471174358153,0.261488517931158,CM031911.1,0,6,0,1,5,7,0,12,1,11,0,13,-13,7,5,2,0.00219581406913578,1
LOC105207435,CM031906.1,15417327,35.9635872437229,15412630,15417630,0.476265431382989,0.376307844453303,0.27638094446571,CM031906.1,0,4,0,6,0,3,4,3,10,-7,4,7,-3,10,0,10,0.00220306447590635,1
LOC105197445,CM031913.1,2431893,29.6990631894564,2428017,2433017,0.45692813011739,0.357795038664002,0.259328485308835,CM031913.1,0,2,1,2,3,5,2,8,4,4,3,7,-4,4,4,0,0.00229724646699714,1
