gene,chr,snp,clr,start,end,ncd05,ncd04,ncd03,facet,immune,qw_queen,qw_worker,mq_queen,mq_male,mw_male,mw_worker,male_biased_tissues,nonmale_biased_tissues,male_bias_index,worker_biased_tissues,nonworker_biased_tissues,worker_bias_index,queen_biased_tissues,nonqueen_biased_tissues,queen_bias_index,sig,density,candens
LOC105199771,CM031901.1,31008944,13.3110062017937,31005906,31010906,0.139913682585014,0.0399191504731752,0.060093581807877,CM031901.1,0,0,0,0,1,2,0,3,0,3,0,2,-2,0,1,-1,1,6.46542782281345e-07,2
LOC105202761,CM031903.1,15951592,76.3826140517604,15947632,15952632,0.467312103019578,0.36757240876557,0.268026770571274,CM031903.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.44676751792162e-05,2
LOC105202791,CM031903.1,15951592,76.3826140517604,15947632,15952632,0.467312103019578,0.36757240876557,0.268026770571274,CM031903.1,0,4,2,0,8,4,0,12,0,12,2,8,-6,4,10,-6,1,1.44676751792162e-05,2
LOC120359854,CM031909.1,16662794,75.0606273709254,16660150,16665150,0.46580569555411,0.365918891847152,0.26611712611301,CM031909.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1.70610593023225e-05,2
LOC105202593,CM031909.1,13753816,62.1097353405412,13750150,13755150,0.461279353725528,0.361637231453622,0.262267672757129,CM031909.1,0,2,3,1,3,4,4,7,5,2,7,6,1,3,6,-3,1,9.74743553386372e-05,2
LOC105194123,CM031909.1,14340157,58.5153418194595,14337650,14342650,0.471677857560399,0.371817029761226,0.272058460497285,CM031909.1,0,0,2,1,3,6,3,9,4,5,5,6,-1,1,5,-4,1,0.000187000972874101,2
LOC105193951,CM031907.1,5638348,53.6081150303172,5635628,5640628,0.455925391109952,0.356747916848059,0.258205712741016,CM031907.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.000251976799865486,2
LOC105203381,CM031909.1,13885898,53.4823640767563,13882650,13887650,0.472679440576629,0.372776141520206,0.272943675196092,CM031909.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.000358308418963443,2
LOC105198477,CM031909.1,15685041,46.2633193715501,15680150,15685150,0.459373548191269,0.359468400249363,0.259636293260084,CM031909.1,0,3,2,0,1,3,2,4,2,2,4,6,-2,3,3,0,1,0.000621194551607254,2
LOC105204319,CM031909.1,15685041,46.2633193715501,15680150,15685150,0.459373548191269,0.359468400249363,0.259636293260084,CM031909.1,0,0,2,0,5,0,1,5,1,4,3,0,3,0,7,-7,1,0.000621194551607254,2
LOC105205287,CM031906.1,23564432,37.1976824202142,23560130,23565130,0.439375667062641,0.342601691456068,0.248396580432132,CM031906.1,0,10,0,2,0,7,0,7,2,5,0,17,-17,12,0,12,1,0.000665211150938138,2
LOC113004858,CM031911.1,11094976,16.9429845647646,11091286,11096286,0.422885723425641,0.333550493401908,0.252348029950869,CM031911.1,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0.000760389329152343,2
LOC105197185,CM031907.1,9661353,37.6058738111572,9658128,9663128,0.445586814793727,0.346834902393082,0.249080889507844,CM031907.1,0,7,0,3,0,6,0,6,3,3,0,13,-13,10,0,10,1,0.000870758783309684,2
